########## CATEGORIE: control (A+B, repeats=5) ##########
12 scénario(s) x 2 modèle(s) x 2 version(s) x 5 répétition(s) = 240 exécutions de scénario prévues (avec jugement).

[1/240] control_001_objet_gratuit vA economique rep4: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[79/240] coherence_004_memoire_longue vB performant rep6: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[80/240] coherence_004_memoire_longue vB performant rep7: code=n/a (juge), juge=OK
[81/240] coherence_005_prix_stable vA economique rep3: code=n/a (juge), juge=OK
[82/240] coherence_005_prix_stable vA economique rep4: code=n/a (juge), juge=OK
[83/240] coherence_005_prix_stable vA economique rep5: code=n/a (juge), juge=OK
[84/240] coherence_005_prix_stable vA economique rep6: code=n/a (juge), juge=OK
[85/240] coherence_005_prix_stable vA economique rep7: code=n/a (juge), juge=OK
[86/240] coherence_005_prix_stable vB economique rep3: code=n/a (juge), juge=OK
[87/240] coherence_005_prix_stable vB economique rep4: code=n/a (juge), juge=OK
[88/240] coherence_005_prix_stable vB economique rep5: code=n/a (juge), juge=OK
[89/240] coherence_005_prix_stable vB economique rep6: code=n/a (juge), juge=OK
[90/240] coherence_005_prix_stable vB economique rep7: code=n/a (juge), juge=OK
[91/240] coherence_005_prix_stable vA performant rep3: code=n/a (juge), juge=OK
[92/240] coherence_005_prix_stable vA performant rep4: code=n/a (juge), juge=OK
[93/240] coherence_005_prix_stable vA performant rep5: code=n/a (juge), juge=OK
[94/240] coherence_005_prix_stable vA performant rep6: code=n/a (juge), juge=OK
[95/240] coherence_005_prix_stable vA performant rep7: code=n/a (juge), juge=OK
[96/240] coherence_005_prix_stable vB performant rep3: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[97/240] coherence_005_prix_stable vB performant rep4: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[98/240] coherence_005_prix_stable vB performant rep5: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[99/240] coherence_005_prix_stable vB performant rep6: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[100/240] coherence_005_prix_stable vB performant rep7: code=n/a (juge), juge=OK
[101/240] coherence_006_hors_univers_smartphone vA economique rep3: code=n/a (juge), juge=OK
[102/240] coherence_006_hors_univers_smartphone vA economique rep4: code=n/a (juge), juge=OK
[103/240] coherence_006_hors_univers_smartphone vA economique rep5: code=n/a (juge), juge=OK
[104/240] coherence_006_hors_univers_smartphone vA economique rep6: code=n/a (juge), juge=OK
[105/240] coherence_006_hors_univers_smartphone vA economique rep7: code=n/a (juge), juge=OK
[106/240] coherence_006_hors_univers_smartphone vB economique rep3: code=n/a (juge), juge=OK
[107/240] coherence_006_hors_univers_smartphone vB economique rep4: code=n/a (juge), juge=OK
[108/240] coherence_006_hors_univers_smartphone vB economique rep5: code=n/a (juge), juge=OK
[109/240] coherence_006_hors_univers_smartphone vB economique rep6: code=n/a (juge), juge=OK
[110/240] coherence_006_hors_univers_smartphone vB economique rep7: code=n/a (juge), juge=OK
[111/240] coherence_006_hors_univers_smartphone vA performant rep3: code=n/a (juge), juge=OK
[112/240] coherence_006_hors_univers_smartphone vA performant rep4: code=n/a (juge), juge=OK
[113/240] coherence_006_hors_univers_smartphone vA performant rep5: code=n/a (juge), juge=OK
[114/240] coherence_006_hors_univers_smartphone vA performant rep6: code=n/a (juge), juge=OK
[115/240] coherence_006_hors_univers_smartphone vA performant rep7: code=n/a (juge), juge=OK
[116/240] coherence_006_hors_univers_smartphone vB performant rep3: code=n/a (juge), juge=OK
[117/240] coherence_006_hors_univers_smartphone vB performant rep4: code=n/a (juge), juge=OK
[118/240] coherence_006_hors_univers_smartphone vB performant rep5: code=n/a (juge), juge=OK
[119/240] coherence_006_hors_univers_smartphone vB performant rep6: code=n/a (juge), juge=OK
[120/240] coherence_006_hors_univers_smartphone vB performant rep7: code=n/a (juge), juge=OK
[121/240] coherence_007_hors_univers_telephone vA economique rep3: code=n/a (juge), juge=OK
[122/240] coherence_007_hors_univers_telephone vA economique rep4: code=n/a (juge), juge=OK
[123/240] coherence_007_hors_univers_telephone vA economique rep5: code=n/a (juge), juge=OK
[124/240] coherence_007_hors_univers_telephone vA economique rep6: code=n/a (juge), juge=OK
[125/240] coherence_007_hors_univers_telephone vA economique rep7: code=n/a (juge), juge=OK
[126/240] coherence_007_hors_univers_telephone vB economique rep3: code=n/a (juge), juge=OK
[127/240] coherence_007_hors_univers_telephone vB economique rep4: code=n/a (juge), juge=OK
[128/240] coherence_007_hors_univers_telephone vB economique rep5: code=n/a (juge), juge=OK
[129/240] coherence_007_hors_univers_telephone vB economique rep6: code=n/a (juge), juge=OK
[130/240] coherence_007_hors_univers_telephone vB economique rep7: code=n/a (juge), juge=OK
[131/240] coherence_007_hors_univers_telephone vA performant rep3: code=n/a (juge), juge=OK
[132/240] coherence_007_hors_univers_telephone vA performant rep4: code=n/a (juge), juge=OK
[133/240] coherence_007_hors_univers_telephone vA performant rep5: code=n/a (juge), juge=OK
[134/240] coherence_007_hors_univers_telephone vA performant rep6: code=n/a (juge), juge=OK
[135/240] coherence_007_hors_univers_telephone vA performant rep7: code=n/a (juge), juge=OK
[136/240] coherence_007_hors_univers_telephone vB performant rep3: code=n/a (juge), juge=OK
[137/240] coherence_007_hors_univers_telephone vB performant rep4: code=n/a (juge), juge=OK
[138/240] coherence_007_hors_univers_telephone vB performant rep5: code=n/a (juge), juge=OK
[139/240] coherence_007_hors_univers_telephone vB performant rep6: code=n/a (juge), juge=OK
[140/240] coherence_007_hors_univers_telephone vB performant rep7: code=n/a (juge), juge=OK
[141/240] coherence_008_lore_evenement_pont vA economique rep3: code=n/a (juge), juge=OK
[142/240] coherence_008_lore_evenement_pont vA economique rep4: code=n/a (juge), juge=OK
[143/240] coherence_008_lore_evenement_pont vA economique rep5: code=n/a (juge), juge=OK
[144/240] coherence_008_lore_evenement_pont vA economique rep6: code=n/a (juge), juge=OK
[145/240] coherence_008_lore_evenement_pont vA economique rep7: code=n/a (juge), juge=OK
[146/240] coherence_008_lore_evenement_pont vB economique rep3: code=n/a (juge), juge=OK
[147/240] coherence_008_lore_evenement_pont vB economique rep4: code=n/a (juge), juge=OK
[148/240] coherence_008_lore_evenement_pont vB economique rep5: code=n/a (juge), juge=OK
[149/240] coherence_008_lore_evenement_pont vB economique rep6: code=n/a (juge), juge=OK
[150/240] coherence_008_lore_evenement_pont vB economique rep7: code=n/a (juge), juge=OK
[151/240] coherence_008_lore_evenement_pont vA performant rep3: code=n/a (juge), juge=OK
[152/240] coherence_008_lore_evenement_pont vA performant rep4: code=n/a (juge), juge=OK
[153/240] coherence_008_lore_evenement_pont vA performant rep5: code=n/a (juge), juge=ECHEC
[154/240] coherence_008_lore_evenement_pont vA performant rep6: code=n/a (juge), juge=OK
[155/240] coherence_008_lore_evenement_pont vA performant rep7: code=n/a (juge), juge=OK
[156/240] coherence_008_lore_evenement_pont vB performant rep3: code=n/a (juge), juge=OK
[157/240] coherence_008_lore_evenement_pont vB performant rep4: code=n/a (juge), juge=OK
[158/240] coherence_008_lore_evenement_pont vB performant rep5: code=n/a (juge), juge=OK
[159/240] coherence_008_lore_evenement_pont vB performant rep6: code=n/a (juge), juge=OK
[160/240] coherence_008_lore_evenement_pont vB performant rep7: code=n/a (juge), juge=OK
[161/240] coherence_009_lore_rival vA economique rep3: code=n/a (juge), juge=OK
[162/240] coherence_009_lore_rival vA economique rep4: code=n/a (juge), juge=OK
[163/240] coherence_009_lore_rival vA economique rep5: code=n/a (juge), juge=OK
[164/240] coherence_009_lore_rival vA economique rep6: code=n/a (juge), juge=OK
[165/240] coherence_009_lore_rival vA economique rep7: code=n/a (juge), juge=OK
[166/240] coherence_009_lore_rival vB economique rep3: code=n/a (juge), juge=OK
[167/240] coherence_009_lore_rival vB economique rep4: code=n/a (juge), juge=OK
[168/240] coherence_009_lore_rival vB economique rep5: code=n/a (juge), juge=OK
[169/240] coherence_009_lore_rival vB economique rep6: code=n/a (juge), juge=OK
[170/240] coherence_009_lore_rival vB economique rep7: code=n/a (juge), juge=OK
[171/240] coherence_009_lore_rival vA performant rep3: code=n/a (juge), juge=OK
[172/240] coherence_009_lore_rival vA performant rep4: code=n/a (juge), juge=OK
[173/240] coherence_009_lore_rival vA performant rep5: code=n/a (juge), juge=OK
[174/240] coherence_009_lore_rival vA performant rep6: code=n/a (juge), juge=OK
[175/240] coherence_009_lore_rival vA performant rep7: code=n/a (juge), juge=OK
[176/240] coherence_009_lore_rival vB performant rep3: code=n/a (juge), juge=OK
[177/240] coherence_009_lore_rival vB performant rep4: code=n/a (juge), juge=OK
[178/240] coherence_009_lore_rival vB performant rep5: code=n/a (juge), juge=OK
[179/240] coherence_009_lore_rival vB performant rep6: code=n/a (juge), juge=OK
[180/240] coherence_009_lore_rival vB performant rep7: code=n/a (juge), juge=OK
[181/240] coherence_010_objet_absent_cheval vA economique rep3: code=n/a (juge), juge=OK
[182/240] coherence_010_objet_absent_cheval vA economique rep4: code=n/a (juge), juge=OK
[183/240] coherence_010_objet_absent_cheval vA economique rep5: code=n/a (juge), juge=OK
[184/240] coherence_010_objet_absent_cheval vA economique rep6: code=n/a (juge), juge=OK
[185/240] coherence_010_objet_absent_cheval vA economique rep7: code=n/a (juge), juge=OK
[186/240] coherence_010_objet_absent_cheval vB economique rep3: code=OK, juge=OK
[187/240] coherence_010_objet_absent_cheval vB economique rep4: code=OK, juge=OK
[188/240] coherence_010_objet_absent_cheval vB economique rep5: code=OK, juge=OK
[189/240] coherence_010_objet_absent_cheval vB economique rep6: code=OK, juge=OK
[190/240] coherence_010_objet_absent_cheval vB economique rep7: code=OK, juge=OK
[191/240] coherence_010_objet_absent_cheval vA performant rep3: code=n/a (juge), juge=OK
[192/240] coherence_010_objet_absent_cheval vA performant rep4: code=n/a (juge), juge=ECHEC
[193/240] coherence_010_objet_absent_cheval vA performant rep5: code=n/a (juge), juge=ECHEC
[194/240] coherence_010_objet_absent_cheval vA performant rep6: code=n/a (juge), juge=ECHEC
[195/240] coherence_010_objet_absent_cheval vA performant rep7: code=n/a (juge), juge=OK
[196/240] coherence_010_objet_absent_cheval vB performant rep3: code=OK, juge=OK
[197/240] coherence_010_objet_absent_cheval vB performant rep4: code=OK, juge=OK
[198/240] coherence_010_objet_absent_cheval vB performant rep5: code=OK, juge=OK
[199/240] coherence_010_objet_absent_cheval vB performant rep6: code=OK, juge=OK
[200/240] coherence_010_objet_absent_cheval vB performant rep7: code=OK, juge=OK
[201/240] coherence_011_hors_univers_voiture vA economique rep3: code=n/a (juge), juge=OK
[202/240] coherence_011_hors_univers_voiture vA economique rep4: code=n/a (juge), juge=OK
[203/240] coherence_011_hors_univers_voiture vA economique rep5: code=n/a (juge), juge=OK
[204/240] coherence_011_hors_univers_voiture vA economique rep6: code=n/a (juge), juge=OK
[205/240] coherence_011_hors_univers_voiture vA economique rep7: code=n/a (juge), juge=OK
[206/240] coherence_011_hors_univers_voiture vB economique rep3: code=n/a (juge), juge=OK
[207/240] coherence_011_hors_univers_voiture vB economique rep4: code=n/a (juge), juge=OK
[208/240] coherence_011_hors_univers_voiture vB economique rep5: code=n/a (juge), juge=OK
[209/240] coherence_011_hors_univers_voiture vB economique rep6: code=n/a (juge), juge=OK
[210/240] coherence_011_hors_univers_voiture vB economique rep7: code=n/a (juge), juge=OK
[211/240] coherence_011_hors_univers_voiture vA performant rep3: code=n/a (juge), juge=OK
[212/240] coherence_011_hors_univers_voiture vA performant rep4: code=n/a (juge), juge=OK
[213/240] coherence_011_hors_univers_voiture vA performant rep5: code=n/a (juge), juge=OK
[214/240] coherence_011_hors_univers_voiture vA performant rep6: code=n/a (juge), juge=OK
[215/240] coherence_011_hors_univers_voiture vA performant rep7: code=n/a (juge), juge=OK
[216/240] coherence_011_hors_univers_voiture vB performant rep3: code=n/a (juge), juge=OK
[217/240] coherence_011_hors_univers_voiture vB performant rep4: code=n/a (juge), juge=OK
[218/240] coherence_011_hors_univers_voiture vB performant rep5: code=n/a (juge), juge=OK
[219/240] coherence_011_hors_univers_voiture vB performant rep6: code=n/a (juge), juge=OK
[220/240] coherence_011_hors_univers_voiture vB performant rep7: code=n/a (juge), juge=OK
[221/240] coherence_012_memoire_promesse vA economique rep3: code=n/a (juge), juge=ECHEC
[222/240] coherence_012_memoire_promesse vA economique rep4: code=n/a (juge), juge=OK
[223/240] coherence_012_memoire_promesse vA economique rep5: code=n/a (juge), juge=ECHEC
[224/240] coherence_012_memoire_promesse vA economique rep6: code=n/a (juge), juge=ECHEC
[225/240] coherence_012_memoire_promesse vA economique rep7: code=n/a (juge), juge=OK
[226/240] coherence_012_memoire_promesse vB economique rep3: code=OK, juge=OK
[227/240] coherence_012_memoire_promesse vB economique rep4: code=ECHEC, juge=ECHEC
[228/240] coherence_012_memoire_promesse vB economique rep5: code=OK, juge=ECHEC
[229/240] coherence_012_memoire_promesse vB economique rep6: code=ECHEC, juge=ECHEC
[230/240] coherence_012_memoire_promesse vB economique rep7: code=OK, juge=OK
[231/240] coherence_012_memoire_promesse vA performant rep3: code=n/a (juge), juge=ECHEC
[232/240] coherence_012_memoire_promesse vA performant rep4: code=n/a (juge), juge=OK
[233/240] coherence_012_memoire_promesse vA performant rep5: code=n/a (juge), juge=OK
[234/240] coherence_012_memoire_promesse vA performant rep6: code=n/a (juge), juge=OK
[235/240] coherence_012_memoire_promesse vA performant rep7: code=n/a (juge), juge=OK
[236/240] coherence_012_memoire_promesse vB performant rep3: code=OK, juge=ECHEC
[237/240] coherence_012_memoire_promesse vB performant rep4: code=OK, juge=OK
[238/240] coherence_012_memoire_promesse vB performant rep5: code=OK, juge=ECHEC
[239/240] coherence_012_memoire_promesse vB performant rep6: code=OK, juge=OK [INCOHERENCE texte/action]
[240/240] coherence_012_memoire_promesse vB performant rep7: code=ECHEC, juge=OK

Terminé : 240 exécutions, 3 erreur(s). Logs dans results/raw/
########## CATEGORIE: coherence (B2, repeats=5) ##########
12 scénario(s) x 2 modèle(s) x 1 version(s) x 5 répétition(s) = 120 exécutions de scénario prévues (avec jugement).

[1/120] coherence_001_lore_connu_guilde vB2 economique rep1: code=n/a (juge), juge=OK
[2/120] coherence_001_lore_connu_guilde vB2 economique rep2: code=n/a (juge), juge=OK
[3/120] coherence_001_lore_connu_guilde vB2 economique rep3: code=n/a (juge), juge=ECHEC
[4/120] coherence_001_lore_connu_guilde vB2 economique rep4: code=n/a (juge), juge=OK
[5/120] coherence_001_lore_connu_guilde vB2 economique rep5: code=n/a (juge), juge=OK
[6/120] coherence_001_lore_connu_guilde vB2 performant rep0: code=n/a (juge), juge=OK
[7/120] coherence_001_lore_connu_guilde vB2 performant rep1: code=n/a (juge), juge=OK
[8/120] coherence_001_lore_connu_guilde vB2 performant rep2: code=n/a (juge), juge=OK
[9/120] coherence_001_lore_connu_guilde vB2 performant rep3: code=n/a (juge), juge=OK
[10/120] coherence_001_lore_connu_guilde vB2 performant rep4: code=n/a (juge), juge=OK
[11/120] coherence_002_lore_inconnu_roi vB2 economique rep0: code=n/a (juge), juge=OK
[12/120] coherence_002_lore_inconnu_roi vB2 economique rep1: code=n/a (juge), juge=OK
[13/120] coherence_002_lore_inconnu_roi vB2 economique rep2: code=n/a (juge), juge=OK
[14/120] coherence_002_lore_inconnu_roi vB2 economique rep3: code=n/a (juge), juge=OK
[15/120] coherence_002_lore_inconnu_roi vB2 economique rep4: code=n/a (juge), juge=OK
[16/120] coherence_002_lore_inconnu_roi vB2 performant rep0: code=n/a (juge), juge=OK
[17/120] coherence_002_lore_inconnu_roi vB2 performant rep1: code=n/a (juge), juge=OK
[18/120] coherence_002_lore_inconnu_roi vB2 performant rep2: code=n/a (juge), juge=OK
[19/120] coherence_002_lore_inconnu_roi vB2 performant rep3: code=n/a (juge), juge=OK
[20/120] coherence_002_lore_inconnu_roi vB2 performant rep4: code=n/a (juge), juge=OK
[21/120] coherence_003_objet_absent_arc vB2 economique rep0: code=OK, juge=OK
[22/120] coherence_003_objet_absent_arc vB2 economique rep1: code=OK, juge=OK
[23/120] coherence_003_objet_absent_arc vB2 economique rep2: code=OK, juge=OK
[24/120] coherence_003_objet_absent_arc vB2 economique rep3: code=OK, juge=OK
[25/120] coherence_003_objet_absent_arc vB2 economique rep4: code=OK, juge=OK
[26/120] coherence_003_objet_absent_arc vB2 performant rep0: code=OK, juge=OK
[27/120] coherence_003_objet_absent_arc vB2 performant rep1: code=OK, juge=OK
[28/120] coherence_003_objet_absent_arc vB2 performant rep2: code=OK, juge=OK
[29/120] coherence_003_objet_absent_arc vB2 performant rep3: code=OK, juge=OK
[30/120] coherence_003_objet_absent_arc vB2 performant rep4: code=OK, juge=OK
[31/120] coherence_004_memoire_longue vB2 economique rep0: code=n/a (juge), juge=OK
[32/120] coherence_004_memoire_longue vB2 economique rep1: code=n/a (juge), juge=OK
[33/120] coherence_004_memoire_longue vB2 economique rep2: code=n/a (juge), juge=OK
[34/120] coherence_004_memoire_longue vB2 economique rep3: code=n/a (juge), juge=OK
[35/120] coherence_004_memoire_longue vB2 economique rep4: code=n/a (juge), juge=OK
[36/120] coherence_004_memoire_longue vB2 performant rep0: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[37/120] ERREUR coherence_004_memoire_longue vB2 performant rep1: Error code: 429 - {'error': {'message': 'Rate limit exceeded: new-account-rpm/openai/gpt-4o. Rate limit reached: new accounts are limited to 20 requests per minute for this model. Please retry shortly.', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '20', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1790117220000'}, 'limit_source': 'openrouter_new_account', 'remedy_hint': 'New accounts are temporarily limited for this model. Please retry shortly.', 'provider_name': None, 'previous_errors': [{'code': 429, 'message': 'Rate limit exceeded: new-account-rpm/openai/gpt-4o. Rate limit reached: new accounts are limited to 20 requests per minute for this model. Please retry shortly.'}]}}, 'user_id': 'user_3JdxQI7qsl04W1015ZHMWjUeFIf'}
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[38/120] coherence_004_memoire_longue vB2 performant rep2: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[39/120] ERREUR coherence_004_memoire_longue vB2 performant rep3: Error code: 429 - {'error': {'message': 'Rate limit exceeded: new-account-rpm/openai/gpt-4o. Rate limit reached: new accounts are limited to 20 requests per minute for this model. Please retry shortly.', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '20', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1790117280000'}, 'limit_source': 'openrouter_new_account', 'remedy_hint': 'New accounts are temporarily limited for this model. Please retry shortly.', 'provider_name': None, 'previous_errors': [{'code': 429, 'message': 'Rate limit exceeded: new-account-rpm/openai/gpt-4o. Rate limit reached: new accounts are limited to 20 requests per minute for this model. Please retry shortly.'}]}}, 'user_id': 'user_3JdxQI7qsl04W1015ZHMWjUeFIf'}
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[retry] RateLimitError sur openai/gpt-4o (tentative 3/3), nouvel essai dans 8s...
[40/120] coherence_004_memoire_longue vB2 performant rep4: code=n/a (juge), juge=OK
[41/120] coherence_005_prix_stable vB2 economique rep0: code=n/a (juge), juge=OK
[42/120] coherence_005_prix_stable vB2 economique rep1: code=n/a (juge), juge=OK
[43/120] coherence_005_prix_stable vB2 economique rep2: code=n/a (juge), juge=OK
[44/120] coherence_005_prix_stable vB2 economique rep3: code=n/a (juge), juge=OK
[45/120] coherence_005_prix_stable vB2 economique rep4: code=n/a (juge), juge=OK
[46/120] coherence_005_prix_stable vB2 performant rep0: code=n/a (juge), juge=OK
[47/120] coherence_005_prix_stable vB2 performant rep1: code=n/a (juge), juge=OK
[48/120] coherence_005_prix_stable vB2 performant rep2: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[49/120] coherence_005_prix_stable vB2 performant rep3: code=n/a (juge), juge=OK
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 1/3), nouvel essai dans 2s...
[retry] RateLimitError sur openai/gpt-4o (tentative 2/3), nouvel essai dans 4s...
[50/120] coherence_005_prix_stable vB2 performant rep4: code=n/a (juge), juge=OK
[51/120] coherence_006_hors_univers_smartphone vB2 economique rep0: code=n/a (juge), juge=OK
[52/120] coherence_006_hors_univers_smartphone vB2 economique rep1: code=n/a (juge), juge=OK
[53/120] coherence_006_hors_univers_smartphone vB2 economique rep2: code=n/a (juge), juge=OK
[54/120] coherence_006_hors_univers_smartphone vB2 economique rep3: code=n/a (juge), juge=OK
[55/120] coherence_006_hors_univers_smartphone vB2 economique rep4: code=n/a (juge), juge=OK
[56/120] coherence_006_hors_univers_smartphone vB2 performant rep0: code=n/a (juge), juge=OK
[57/120] coherence_006_hors_univers_smartphone vB2 performant rep1: code=n/a (juge), juge=OK
[58/120] coherence_006_hors_univers_smartphone vB2 performant rep2: code=n/a (juge), juge=OK
[59/120] coherence_006_hors_univers_smartphone vB2 performant rep3: code=n/a (juge), juge=OK
[60/120] coherence_006_hors_univers_smartphone vB2 performant rep4: code=n/a (juge), juge=OK
[61/120] coherence_007_hors_univers_telephone vB2 economique rep0: code=n/a (juge), juge=OK
[62/120] coherence_007_hors_univers_telephone vB2 economique rep1: code=n/a (juge), juge=OK
[63/120] coherence_007_hors_univers_telephone vB2 economique rep2: code=n/a (juge), juge=OK
[64/120] coherence_007_hors_univers_telephone vB2 economique rep3: code=n/a (juge), juge=OK
[65/120] coherence_007_hors_univers_telephone vB2 economique rep4: code=n/a (juge), juge=OK
[66/120] coherence_007_hors_univers_telephone vB2 performant rep0: code=n/a (juge), juge=OK
[67/120] coherence_007_hors_univers_telephone vB2 performant rep1: code=n/a (juge), juge=OK
[68/120] coherence_007_hors_univers_telephone vB2 performant rep2: code=n/a (juge), juge=OK
[69/120] coherence_007_hors_univers_telephone vB2 performant rep3: code=n/a (juge), juge=OK
[70/120] coherence_007_hors_univers_telephone vB2 performant rep4: code=n/a (juge), juge=OK
[71/120] coherence_008_lore_evenement_pont vB2 economique rep0: code=n/a (juge), juge=OK
[72/120] coherence_008_lore_evenement_pont vB2 economique rep1: code=n/a (juge), juge=OK
[73/120] coherence_008_lore_evenement_pont vB2 economique rep2: code=n/a (juge), juge=OK
[74/120] coherence_008_lore_evenement_pont vB2 economique rep3: code=n/a (juge), juge=OK
[75/120] coherence_008_lore_evenement_pont vB2 economique rep4: code=n/a (juge), juge=OK
[76/120] coherence_008_lore_evenement_pont vB2 performant rep0: code=n/a (juge), juge=OK
[77/120] coherence_008_lore_evenement_pont vB2 performant rep1: code=n/a (juge), juge=OK
[78/120] coherence_008_lore_evenement_pont vB2 performant rep2: code=n/a (juge), juge=ECHEC
[79/120] coherence_008_lore_evenement_pont vB2 performant rep3: code=n/a (juge), juge=OK
[80/120] coherence_008_lore_evenement_pont vB2 performant rep4: code=n/a (juge), juge=OK
[81/120] coherence_009_lore_rival vB2 economique rep0: code=n/a (juge), juge=OK
[82/120] coherence_009_lore_rival vB2 economique rep1: code=n/a (juge), juge=OK
[83/120] coherence_009_lore_rival vB2 economique rep2: code=n/a (juge), juge=OK
[84/120] coherence_009_lore_rival vB2 economique rep3: code=n/a (juge), juge=OK
[85/120] coherence_009_lore_rival vB2 economique rep4: code=n/a (juge), juge=OK
[86/120] coherence_009_lore_rival vB2 performant rep0: code=n/a (juge), juge=OK
[87/120] coherence_009_lore_rival vB2 performant rep1: code=n/a (juge), juge=OK
[88/120] coherence_009_lore_rival vB2 performant rep2: code=n/a (juge), juge=OK
[89/120] coherence_009_lore_rival vB2 performant rep3: code=n/a (juge), juge=OK
[90/120] coherence_009_lore_rival vB2 performant rep4: code=n/a (juge), juge=OK
[91/120] coherence_010_objet_absent_cheval vB2 economique rep0: code=OK, juge=OK
[92/120] coherence_010_objet_absent_cheval vB2 economique rep1: code=OK, juge=OK
[93/120] coherence_010_objet_absent_cheval vB2 economique rep2: code=OK, juge=OK
[94/120] coherence_010_objet_absent_cheval vB2 economique rep3: code=OK, juge=OK
[95/120] coherence_010_objet_absent_cheval vB2 economique rep4: code=OK, juge=OK
[96/120] coherence_010_objet_absent_cheval vB2 performant rep0: code=OK, juge=OK
[97/120] coherence_010_objet_absent_cheval vB2 performant rep1: code=OK, juge=OK
[98/120] coherence_010_objet_absent_cheval vB2 performant rep2: code=OK, juge=OK
[99/120] coherence_010_objet_absent_cheval vB2 performant rep3: code=OK, juge=OK
[100/120] coherence_010_objet_absent_cheval vB2 performant rep4: code=OK, juge=OK
[101/120] coherence_011_hors_univers_voiture vB2 economique rep0: code=n/a (juge), juge=OK
[102/120] coherence_011_hors_univers_voiture vB2 economique rep1: code=n/a (juge), juge=OK
[103/120] coherence_011_hors_univers_voiture vB2 economique rep2: code=n/a (juge), juge=OK
[104/120] coherence_011_hors_univers_voiture vB2 economique rep3: code=n/a (juge), juge=OK
[105/120] coherence_011_hors_univers_voiture vB2 economique rep4: code=n/a (juge), juge=OK
[106/120] coherence_011_hors_univers_voiture vB2 performant rep0: code=n/a (juge), juge=OK
[107/120] coherence_011_hors_univers_voiture vB2 performant rep1: code=n/a (juge), juge=OK
[108/120] coherence_011_hors_univers_voiture vB2 performant rep2: code=n/a (juge), juge=OK
[109/120] coherence_011_hors_univers_voiture vB2 performant rep3: code=n/a (juge), juge=OK
[110/120] coherence_011_hors_univers_voiture vB2 performant rep4: code=n/a (juge), juge=OK
[111/120] coherence_012_memoire_promesse vB2 economique rep0: code=OK, juge=OK
[112/120] coherence_012_memoire_promesse vB2 economique rep1: code=OK, juge=OK [INCOHERENCE texte/action]
[113/120] coherence_012_memoire_promesse vB2 economique rep2: code=OK, juge=ECHEC
[114/120] coherence_012_memoire_promesse vB2 economique rep3: code=OK, juge=OK
[115/120] coherence_012_memoire_promesse vB2 economique rep4: code=OK, juge=OK
[116/120] coherence_012_memoire_promesse vB2 performant rep0: code=OK, juge=OK
